# image-id: battling-overlay
# annotated_functions/total_functions: 461/461
# Total basis: whole-image AOT range manifest, including authenticated overlapping roots. One supplementary call site is documented but excluded from the denominator.
# sha256: 3e6df915e9c7f05f5fb997cb331392f1333e867dfb2628cd65e5e1ea1575646e
# load-address: 0x8006faf0
# identity-source: annotations/overlays/disc1-images.toml
# source-record-id: battling-image
# format: address, note

0x800707A8, function start — BattlingTutorialReleaseOrTransition; schedules tutorial storage release and mode transition.
0x80075A4C, function start — BattlingTestQuadrilateralEdgesAgainstCircle; Tests all four quadrilateral edges against a circle while preserving the supplied center as the fallback impact point.
0x80075B50, function start — BattlingProcessIncomingAttackCollisions; Tests movement against active projectiles and swept attacks then applies reactions damage hit state and strongest-impact details.
0x8007639C, function start — BattlingEnqueueFighterCommand; Appends a command byte to the fighter's 32-entry circular input queue unless the queue is full.
0x800763E4, function start — BattlingDequeueCommand; returns zero when the command ring is empty otherwise removes its oldest byte and advances the wrapped read index.
0x80076424, function start — BattlingClearCommandQueue; resets the command ring indices and count and clears the selected combo entry.
0x80076438, function start — BattlingPrintActorByteSequence; prints a bounded actor byte sequence.
0x800764CC, function start — BattlingPrepareFrameStateAndAttackDisplay; clears transient movement and impact state recalculates the speed scale and refreshes the selected attack label and percentage for the battler side.
0x8007661C, function start — BattlingDrawSelectedAttackDiagnostics; prints the selected attack name and percentage plus current and maximum animation frames at the side-specific debug position.
0x800767C8, function start — BattlingQueueCloseRangeReaction; clears pending commands and queues reaction command five when nearby grounded opponents meet the required state and facing conditions.
0x80076884, function start — BattlingProcessControllerMovement; reads the side's controller inputs queues action commands applies camera-relative steering and acceleration and derives movement speed and heading.
0x80077038, function start — BattlingUpdateHealthHitstunAndKnockout; advances action timers drains accumulated damage updates the health gauge and enters the knockout state with directional recoil when health reaches zero.
0x80077584, function start — BattlingApplyDirectionalLaunchImpulse; adds angle-derived horizontal velocity and increases upward launch velocity while clamping its maximum rise.
0x8007762C, function start — BattlingBeginHeavyKnockback; selects the heavy-hit animation initializes lockout and impact timers clears incompatible flags and applies the requested launch impulse.
0x800776A8, function start — BattlingTriggerSideRumble; starts controller vibration for the requested duration when the current mode side and rumble-enable flags permit it.
0x80077770, function start — BattlingResolvePendingHitImpulse; chooses the impact animation from hit type and vertical contact then applies phased knockback and rumble relative to the recorded impact point.
0x80077A38, function start — BattlingAdvanceComboSelection; follows the appropriate combo lookup branch from the current selection and returns the corresponding move descriptor.
0x80077A88, function start — BattlingMarkSpecialReactionFrame; sets the battler's transient special-reaction flag for the current simulation frame.
0x80077A9C, function start — BattlingUpdateActionState; consumes queued commands starts attacks guards and reactions updates locomotion animation and speed and applies the associated resource and effect rules.
0x80078154, function start — BattlingSnapRootToBodyAnchor; moves the battler root to its current body anchor resets action state and marks the resulting positional discontinuity.
0x80078194, function start — BattlingAccumulateVelocityAndFacing; preserves prior transforms steers facing toward the opponent applies movement gravity recoil and state-dependent damping and produces the frame velocity.
0x80078704, function start — BattlingSelectCollisionHullEndpoint; classifies a separating line against three battler reference points and returns the nearest applicable hull endpoint.
0x80078920, function start — BattlingResolveBodyOverlap; detects swept hull overlap and separates both battlers along their mutual heading in proportion to their movement magnitudes.
0x80078D20, function start — BattlingIntegrateTerrainMovement; samples terrain height and type constrains displacement lands or bounces the battler and integrates its final position.
0x80078E94, function start — BattlingSynchronizeModelTransform; writes the battler's current world position and facing angle into its render transform.
0x80078ED4, function start — BattlingInitializeMotionTuning; initializes the seven per-battler motion controls to their default scale timing and limit values.
0x80078F00, function start — BattlingInitializeBattlerRuntime; resets motion combat timers commands attacks effects gauges flags artificial intelligence and rendering state from the selected battler configuration.
0x8007920C, function start — BattlingUpdateAnchorsAndStateEffects; derives world-space body anchors emits state transitions and contact effects and tracks animation and guard-state changes.
0x800796B8, function start — BattlingUpdateSharedArenaCamera; derives opponent distance heading midpoint and camera side then smooths the camera toward a terrain-constrained framing position.
0x80079A8C, function start — BattlingEffectsInitialize; initializes emitters and shared effect state.
0x80079B04, function start — BattlingNoOpCallback2; intentional empty effect callback.
0x80079B0C, function start — BattlingResetMatchProgression; clears the match counter result counters transient mode flags and accumulated arena progression state.
0x80079B44, function start — BattlingInitializeMatchRuntime; initializes both battlers and all shared camera rendering effect input result and arena subsystems for a new match.
0x80079D08, function start — BattlingEncodeReplayFlags; stores the battler's reaction guard and special-state bits into the current replay sample.
0x80079D6C, function start — BattlingDecodeReplayFlags; restores the battler's reaction guard and special-state bits from the current replay sample.
0x80079DE0, function start — BattlingClearEffectState; clears shared effect state.
0x80079DF0, function start — BattlingBoutInitializeAndUpdate; initializes fighters, input, camera, resources, and bout state.
0x8007A21C, function start — BattlingBeginReplayRewind; configures the replay countdown rewinds the history cursor and preserves live battler and auxiliary positions for later restoration.
0x8007A344, function start — BattlingReplayUpdate; updates recorded fighters and renders replay state.
0x8007A6D0, function start — BattlingSetWinnerPose; selects the winner's timed celebration or idle animation and marks the animation for immediate restart.
0x8007A730, function start — BattlingSetDefeatedPose; selects the defeated animation resets its motion component and marks the battler as inactive for the result sequence.
0x8007A768, function start — BattlingInitializeVictoryCamera; loads result-camera tuning from the winning battler and places the camera at a randomized orbit around the winner.
0x8007A884, function start — BattlingPrepareVictoryPresentation; resets shared visual and audio effects chooses the result-message style and restores display scales for both battlers.
0x8007A958, function start — BattlingUpdateVictoryCamera; computes the result camera target and eye around the winner applies optional debug controls and pushes the camera away from excessive proximity.
0x8007AC3C, function start — BattlingRestorePostReplayArena; restores saved live positions and scales duplicates auxiliary transforms and initializes the victory camera around the appropriate battler.
0x8007AE10, function start — BattlingResultsUpdate; displays victory, defeat, draw, and opponent results.
0x8007B210, function start — BattlingRenderResultPose; selects the first animation sample applies the requested result pose and renders the battler at its configured result-screen orientation.
0x8007B270, function start — BattlingUploadTwoColorEffectPalette; converts two RGB colors to PlayStation fifteen-bit values and uploads the generated effect palette.
0x8007B388, function start — BattlingInitializeEffectRendering; extracts texture and palette metadata builds effect templates and initializes all sixty reusable effect slots.
0x8007BACC, function start — BattlingAdvanceEffectParticles; advances active effect lifetimes and vertical motion rotates ordering counters and increments the shared effect frame.
0x8007BB7C, function start — BattlingClearEffectPool; marks all sixty reusable effect slots inactive.
0x8007BBA0, function start — BattlingRenderWorldEffectQuads; projects active world-space quad effects selects animated texture frames and inserts their primitives into the depth ordering table.
0x8007C100, function start — BattlingCacheEffectTintColor; copies an unaligned thirty-two-bit tint value into the shared effect-color cache.
0x8007C124, function start — BattlingSpawnEffectParticle; allocates a free effect slot initializes its position and selected template applies cached tint when required and snapshots its initial primitive state.
0x8007C280, function start — BattlingRenderLinkedEffectRibbons; projects active ribbon effects constructs camera-facing or segment-linked endpoints and submits their shaded primitives to the depth ordering table.
0x8007C880, function start — BattlingLinkedPointTrailSpawn; allocates a deduplicated trail point and links it to the prior-frame point with the same key.
0x8007CAA4, function start — BattlingLinkedSegmentTrailsRender; projects active linked endpoint pairs into depth-sorted textured quads.
0x8007CD14, function start — BattlingEffectTrailKeyPack; packs side attachment index attachment point and variant fields into one trail key.
0x8007CD44, function start — BattlingLinkedSegmentTrailSpawn; allocates a trail segment between two positions and links it to the matching prior-frame segment.
0x8007CF78, function start — BattlingTransientEffectsRender; prepares camera-relative coordinates and renders sprite trails segment trails particles and queued lines.
0x8007D068, function start — BattlingQueuedLinesRenderOnly; prepares camera-relative coordinates and renders the latched line queue.
0x8007D0B4, function start — BattlingPackedPositionJitter; adds an independent random offset from negative 24 through positive 23 to each packed coordinate.
0x8007D190, function start — BattlingPresetPointEffectSpawn; selects one of five point-effect presets and optionally jitters its spawn position.
0x8007D25C, function start — BattlingIsLineBurstOpcode; returns whether an effect opcode is between 0x10 and 0x1F.
0x8007D274, function start — BattlingPositionRandomize; copies a position with an independent random offset from negative 32 through positive 31 on each axis.
0x8007D334, function start — BattlingRandomizedLineBurstQueue; queues three seven-segment jittered paths between two positions using the selected color pattern.
0x8007D65C, function start — BattlingLineBurstOpcodeDispatch; maps opcodes 0x11 through 0x13 to their corresponding randomized line-burst color patterns.
0x8007D6B8, function start — BattlingDotParticlePoolInitialize; allocates 255 ballistic dot states and initializes both precolored packet buffers.
0x8007D7A8, function start — BattlingDotParticlesSpawn; fills available slots with floor-height-sampled ballistic dots randomly distributed around a position.
0x8007D918, function start — BattlingDotParticlesUpdateAndRender; advances active ballistic dots and projects them into depth-sorted single-pixel packets until they return to the floor.
0x8007DB28, function start — BattlingTileParticlePoolInitialize; allocates 540 tile-particle states and initializes two precolored packet buffers with randomized dimensions.
0x8007DC74, function start — BattlingMotionTileParticlesSpawn; emits randomized tile particles along an eligible motion segment with count and lifetime derived from its displacement.
0x8007E020, function start — BattlingTileParticlesUpdateAndRender; advances tile positions and vertical acceleration then projects active particles into depth-sorted packets.
0x8007E24C, function start — BattlingTransientParticlePoolsReset; clears every dot and tile particle state and resets both pool sentinels.
0x8007E2D8, function start — BattlingLinePacketPoolInitialize; initializes 100 flat two-point line packets and clears the queued and latched counts.
0x8007E31C, function start — BattlingLineSegmentQueue; appends one colored three-dimensional line segment while capacity remains.
0x8007E3CC, function start — BattlingLatchedLineSegmentsRender; projects the latched line segments and inserts their packets into depth-sorted ordering-table buckets.
0x8007E528, function start — BattlingBottomBannerTimerSet; sets the bottom-banner lifetime and plays its cue when newly started with ten frames.
0x8007E574, function start — BattlingBottomBannerUpdateAndRender; submits the double-buffered bottom banner when eligible and decrements its active timer.
0x8007E624, function start — BattlingGetMenuResource; returns the active menu resource.
0x8007E634, function start — BattlingMenuTextAndBannerInitialize; allocates double-buffered glyph packets and uploads the font and bottom-banner textures with their drawing state.
0x8007E894, function start — BattlingMenuTextCursorSet; sets the current menu text drawing position.
0x8007E8AC, function start — BattlingMenuGlyphLookup; maps digits uppercase letters and supported punctuation to glyph metrics.
0x8007E954, function start — BattlingMenuTextScaleSet; sets the fixed-point horizontal glyph scale.
0x8007E964, function start — BattlingMenuGlyphAppend; emits one scaled textured glyph quad when supported and advances the text cursor.
0x8007EB6C, function start — BattlingMenuStringMeasure; returns the scaled pixel width of a null-terminated menu string.
0x8007EBE0, function start — BattlingMenuStringDrawLeftAligned; draws a string from the current cursor position then restores X and advances Y by 20 pixels.
0x8007EC54, function start — BattlingMenuStringDrawCentered; centers a measured string on the current X coordinate then restores X and advances Y by 20 pixels.
0x8007ECF0, function start — BattlingDrawMenuString; measures and emits a menu string.
0x8007ED84, function start — BattlingMenuStringDrawWithOffset; draws a string from the current X coordinate minus a supplied offset then restores X and advances Y by 20 pixels.
0x8007EE08, function start — BattlingMenuPrimaryTextColorSet; selects white text or a frame-ramped green-to-yellow highlight.
0x8007EE68, function start — BattlingMenuAlternateTextColorSet; selects white text or a frame-ramped white-to-blue highlight.
0x8007EEE8, function start — BattlingBuildGearRoster; builds available Gear and opponent choices.
0x8007EFB4, function start — BattlingGearSelectionGridInitialize; initializes the 7x7 Gear grid.
0x8007F05C, function start — BattlingGearPortraitQuadBuild; builds a side-positioned textured Gear portrait quad with wrapped selection index and transition brightness.
0x8007F258, function start — BattlingGearSelectionRender; animates cursors and renders Gear names.
0x8007F834, function start — BattlingMenuNavigationStateReset; clears menu repeat timing transition state and the pending navigation value.
0x8007F854, function start — BattlingMenuEnterSelection; enters menu selection and resets input flags.
0x8007F8B4, function start — BattlingReturnToMenuIdle; switches to menu mode and clears the active menu and navigation state.
0x8007F8E4, function start — BattlingMenuExitSelection; starts the mode or returns to prior menu state.
0x8007F948, function start — BattlingMenuOptionHighlightSet; selects highlighted or normal primary text color according to the current option index.
0x8007F97C, function start — BattlingDifficultyLabelGet; returns the label associated with the current difficulty level.
0x8007F9A0, function start — BattlingDrawPrimaryOptions; draws primary options and values.
0x8007FB0C, function start — BattlingDrawSecondaryOptions; draws secondary options and values.
0x8007FBEC, function start — BattlingControllerOptionsRender; renders controller and vibration settings.
0x8007FE48, function start — BattlingDrawModeSettings; draws mode-specific settings.
0x8007FF70, function start — BattlingStepOptionValue; wraps or clamps an option value.
0x80080054, function start — BattlingAdjustDifficultyOption; updates difficulty.
0x80080090, function start — BattlingAdjustRoundCountOption; updates round count.
0x800800CC, function start — BattlingAdjustTimeLimitOption; updates time limit.
0x80080108, function start — BattlingAdjustOptionByte3; updates a one-bit option.
0x80080144, function start — BattlingAdjustOptionByte4; updates a one-bit option.
0x80080180, function start — BattlingAdjustPlayer1Control; updates player-one control.
0x800801BC, function start — BattlingAdjustPlayer2Control; updates player-two control.
0x800801F8, function start — BattlingAdjustModeOption; updates the three-value mode.
0x80080234, function start — BattlingAdjustSideOption; updates a side-dependent option.
0x80080268, function start — BattlingAdjustArenaOption; updates arena selection.
0x800802A4, function start — BattlingUpdatePlayer1GearSelection; handles player-one Gear selection and reloads.
0x8008040C, function start — BattlingUpdatePlayer2GearSelection; handles player-two Gear selection and reloads.
0x80080570, function start — BattlingLoadSelectedGearResources; loads both selected fighter resources.
0x80080644, function start — BattlingLoadSelectionPortraits; uploads both selected Gear portraits.
0x80080780, function start — BattlingConfirmGearSelection; commits selection and enters the mode.
0x800808F4, function start — BattlingMarkMenuResourceReload; marks menu resources for reload.
0x80080920, function start — BattlingStartTutorialSelection; initializes fixed tutorial Gear selection.
0x80080964, function start — BattlingMenuDescriptorSwitch; saves the active menu and selects an indexed menu descriptor or restores the previously saved descriptor.
0x800809BC, function start — BattlingIsMainMenuActive; returns whether the main menu descriptor is currently active.
0x800809D8, function start — BattlingMenuStateReset; resets menu state and loads common resources.
0x80080A58, function start — BattlingCommonArchiveReleaseOnce; synchronizes the common archive load and frees its allocation exactly once.
0x80080AA0, function start — BattlingCaptureBufferDetachOrFree; either detaches the capture buffer without freeing it or frees an attached buffer and clears its pointer.
0x80080AE8, function start — BattlingRestoreCapturedMenuFramebuffer; smooths the saved 320x218 image in place and uploads it to its framebuffer region.
0x80080B58, function start — BattlingCaptureMenuFramebuffer; allocates snapshot storage and captures a synchronized 320x218 display-page image.
0x80080C48, function start — BattlingStartSelectedMode; starts versus or practice mode.
0x80080D10, function start — BattlingClearMenuDrawQueue; discards all staged menu drawing packets.
0x80080D20, function start — BattlingSubmitMenuDrawQueue; submits staged menu packets and selection labels then clears the queue and emits enabled overlays.
0x80080F04, function start — BattlingMenuPrimitiveInitialize; initializes menu sprites and draw packets.
0x80081094, function start — BattlingPrepareCenteredMenuLabel; renders a selected label into its text buffer and records its centered width and position.
0x80081100, function start — BattlingUpdatePlayerMenuLabel; rebuilds and uploads one player's centered selection label when its value changes.
0x800811AC, function start — BattlingSubmitPlayerMenuLabels; submits enabled player-selection labels and their shared background packet.
0x800812BC, function start — BattlingMenuLayoutInitialize; measures labels and centers menu geometry.
0x800814AC, function start — BattlingMenusInitialize; initializes menu descriptors and rendering state.
0x8008151C, function start — BattlingMenuRender; renders enabled entries and optional callbacks.
0x8008162C, function start — BattlingMenuInputUpdate; handles digital and analog menu input.
0x80081A44, function start — BattlingControllerConfigurationUpdate; dispatches controller-menu input and updates player enablement and vibration settings before rendering them.
0x80081D2C, function start — BattlingMenusUpdateAndRender; restores a requested background snapshot and processes input before updating and rendering the active menu.
0x80081E00, function start — BattlingConfigureLowerScreenGrayOverlay; configures both display buffers with a gray tile covering the screen below line 96.
0x80081E6C, function start — BattlingConfigureFullscreenBlackOverlay; configures both display buffers with a black tile covering the full screen.
0x80081ECC, function start — BattlingGraphicsResourcesInitialize; initializes arena UI, palettes, and textures.
0x80082178, function start — BattlingRasterizeWideArenaBoundary; rasterizes an eight-vertex radial boundary into per-scanline clipping spans.
0x80082300, function start — BattlingRasterizeNarrowArenaBoundary; rasterizes a five-vertex radial boundary into per-scanline clipping spans.
0x80082458, function start — BattlingCopySampledFloorNormal; copies the normal produced by the latest arena-floor height sample.
0x80082488, function start — BattlingSampleArenaFloorHeightAndNormal; selects the containing terrain triangle and computes its normal and plane-interpolated height.
0x80082880, function start — BattlingSampleTextureHeight; performs signed indexed height lookup.
0x800828C4, function start — BattlingGetArenaTerrainCell; returns the packed terrain word at fixed-point arena coordinates.
0x800828F8, function start — BattlingConstrainArenaMovementToRadius; iteratively adjusts a movement vector until the resulting horizontal position lies within the arena radius.
0x80082A70, function start — BattlingApplyArenaLightingPreset; loads the selected arena's ambient colors and configures background lighting and depth cueing.
0x80082C4C, function start — BattlingModelPacketPoolsInitialize; uploads model textures and builds packet buffers.
0x80082E60, function start — BattlingRenderArenaPerimeterRing; transforms and emits a depth-cued ring of 32 paired perimeter polygons.
0x800831C8, function start — BattlingRandomCameraPositionInitialize; places the camera randomly around the arena and initializes its orbit and smoothing parameters.
0x800832C0, function start — BattlingAdjustCameraOrbitInput; rotates the camera orbit angle in response to left or right directional input.
0x80083310, function start — BattlingReplayCameraUpdate; interpolates the focus between fighters and advances an orbiting floor-clamped replay camera.
0x8008369C, function start — BattlingRandomizeReplayCameraOrbit; selects a random orbit angle and signed angular speed then immediately updates the replay camera.
0x80083738, function start — BattlingBoutCameraInitialize; frames both fighters and chooses a nearby floor-clamped camera side with a smoothed initial movement.
0x80083B54, function start — BattlingCopySceneTransforms; copies both scene-transform records.
0x80083BB4, function start — BattlingClearVideoMemoryViewport; clears a 320- or 640-pixel-wide 480-line video-memory region to black and synchronizes the GPU.
0x80083C0C, function start — BattlingSetMode; changes mode and performs mode-specific setup.
0x80083CD8, function start — BattlingGetMode; returns the current Battling mode.
0x80083CE8, function start — BattlingElapsedTimeDisplay; converts the elapsed frame count to minutes seconds and hundredths then draws the formatted value.
0x80083D74, function start — BattlingElapsedTimeDisplayContinuation; resumes with live division intermediates and finishes formatting and drawing the elapsed-time value.
0x80083DCC, function start — BattlingPrepareActorLightingTransforms; fades actor illumination and updates actor-relative and camera-relative render transforms.
0x800840CC, function start — BattlingRenderArenaScene; renders fighters, arena geometry, effects, and OT.
0x800846A0, function start — BattlingRenderArenaSceneAlternate; renders the alternate arena composition.
0x800849E0, function start — BattlingRenderMenuSceneCallback; begins packet emission and submits queued menu packets and the HUD before finalizing the frame.
0x80084A40, function start — BattlingBeginSceneRenderCallback; selects the current packet buffer and initializes frame emission.
0x80084A64, function start — BattlingRenderDimmedSceneCallback; begins packet emission and draws a dimmed framebuffer composite with queued packets and the HUD.
0x80084AE0, function start — BattlingRenderMenuTransitionEffect; advances the active fluid effect and renders the selection screen with a blended framebuffer overlay.
0x80084B48, function start — BattlingMenuTransitionFadeUpdate; decreases transition opacity and restores volume and releases effect resources when the fade completes.
0x80084BEC, function start — BattlingAttachSpecialGearAccessory; creates and attaches a textured auxiliary model with fixed rotation to the selected fighter.
0x80084C88, function start — BattlingGearActorInitialize; initializes a selected Gear actor and resources.
0x80084FD0, function start — BattlingOptionalPostRenderEffect; invokes an optional post-render effect.
0x80085014, function start — BattlingForceComMode; forces both participants to COM control.
0x80085070, function start — BattlingEnablePlayerControlMode; clears both COM-control flags and enables interactive control state.
0x8008509C, function start — BattlingLoadGearArchive; replaces and loads one fighter Gear archive.
0x80085134, function start — BattlingReleaseGearResource; synchronizes and frees one fighter resource.
0x8008518C, function start — BattlingAllocateDecodedResource; allocates aligned decoded resource storage.
0x800851D4, function start — BattlingExitToField; stops resources and requests Field state.
0x80085264, function start — BattlingCanRunOptionalEffect; tests mode eligibility for an optional effect.
0x800852C4, function start — BattlingGameTaskMain; initializes and runs the major Battling task.
0x80085E34, function start — BattlingMapLeftUiPoint; maps a point to left-side coordinates.
0x80085E60, function start — BattlingMapRightUiPoint; mirrors a point to right-side coordinates.
0x80085E90, function start — BattlingMapSideX; maps X for a fighter side.
0x80085EAC, function start — BattlingMapSideY; maps Y for a fighter side.
0x80085EC8, function start — BattlingHudPacketsInitialize; builds mirrored HUD and cursor packets.
0x800864B4, function start — BattlingBuildForwardFt4Pair; builds forward-facing mirrored quads.
0x800866D4, function start — BattlingBuildReverseFt4Pair; builds reverse-facing mirrored quads.
0x800868E0, function start — BattlingHudTexturesInitialize; uploads HUD textures and initializes gauges.
0x80086E24, function start — BattlingSubmitHudPacketRoot; submits the current display buffer's HUD packet root.
0x80086E70, function start — BattlingDrawSegmentedHudGauge; maps and submits up to three mirrored gauge segments according to the supplied fill amount.
0x80086FF8, function start — BattlingBuildHudLimitWarningIndicator; creates a red or yellow warning tile when the fighter reaches the monitored threshold.
0x80087068, function start — BattlingHudUpdateAndRender; updates and submits both fighters' counters warnings gauges status colors and special-meter segments.
0x800875EC, function start — BattlingHudDoubleBufferInitialize; builds one complete HUD packet set and duplicates it for the second display buffer.
0x80087650, function start — BattlingScanlineSpansReset; resets all 128 scanlines to empty minimum and maximum horizontal spans.
0x80087698, function start — BattlingRasterizeArenaBoundaryEdge; walks a directed edge and expands clamped horizontal clipping bounds for every covered scanline.
0x8008779C, function start — BattlingRenderArenaHeightfield; stages terrain texture data and emits visible depth-sorted heightfield triangles.
0x80087830, function start — BattlingHeightfieldPacketPoolsInitialize; allocates and initializes mirrored double-buffered shaded-triangle packet pools and scratch scan bounds.
0x800878DC, function start — BattlingActorTextureResourcesInitialize; uploads fighter and shared textures.
0x80087AB0, function start — BattlingActorShadowPacketsInitialize; initializes both translucent textured shadow quads from the shared shadow texture coordinates.
0x80087B74, function start — BattlingRenderActorGroundShadow; sizes and terrain-aligns an actor shadow before projecting and depth-sorting its textured quad.
