# image-id: world-overlay
# annotated_functions/total_functions: 193/207
# Total basis: union of Ghidra functions and recovered callbacks/entries.
# sha256: 4c15fd32b3a03d7cd5ea4403dcaabc70abaf99b6aaca65d63d6866803edaac70
# load-address: 0x8006faf0
# identity-source: native_renderer/xg_render_manifest.toml
# source-record-id: world-image
# format: address, note

0x8008D678, function start — WorldMapPartyGearTaskUpdate; updates both nonleader party Gears.
0x8008DD6C, function start — WorldMapPartyGear2TaskInit; initializes the second following party Gear.
0x8008DFF4, function start — WorldMapGetSavedVehiclePosition; expands the saved fixed-point vehicle position.
0x8008E034, function start — WorldMapSetSavedVehiclePosition; stores the fixed-point vehicle position.
0x8008E078, function start — WorldMapSetupYggdrasilInternalExit; selects an internal vehicle exit.
0x8008E0F0, function start — WorldMapFindYggdrasilLandingDirection; finds the first valid landing heading.
0x8008E190, function start — WorldMapYggdrasilTaskInit; restores vehicle flight, landing, model, and radar state.
0x8008E76C, function start — WorldMapYggdrasilTaskUpdate; runs vehicle flight, landing, boarding, collision, and exit states.
0x800906E0, function start — WorldMapYggdrasilSubModelsTaskInit; attaches and initializes vehicle engine submodels.
0x800907F4, function start — WorldMapYggdrasilSubModelsTaskUpdate; updates vehicle engine rotations.
0x80090A18, function start — WorldMapUpdateInputTransitionFlag; derives a one-frame input transition flag.
0x80090A84, function start — WorldMapUpdatePlayerControls; converts input into player movement and actions.
0x80090C68, function start — WorldMapUpdateGearControls; converts input into Gear movement and actions.
0x80090E14, function start — WorldMapUpdateYggdrasilLandingControls; handles constrained landing controls.
0x80090FB4, function start — WorldMapUpdateYggdrasilFlightControls; updates vehicle flight, orientation, and actions.
0x80091430, function start — WorldMapWorldCameraTaskInit; initializes wrapped world-camera target and yaw state.
0x800914D0, function start — WorldMapWorldCameraTaskUpdate; follows the wrapped target and updates streamed-grid movement.
0x80091B54, function start — WorldMapCameraTaskInit; selects initial zoom, pitch, distance, and camera tables.
0x80091C18, function start — WorldMapCameraTaskUpdate; interpolates camera mode, distance, pitch, and view vectors.
0x80091FF8, function start — WorldMapSelectCameraZoomLevel; chooses a terrain-safe camera distance.
0x80092234, function start — WorldMapMinimapYTaskInit; initializes minimap vertical transition state.
0x800922AC, function start — WorldMapMinimapYTaskUpdate; animates minimap height during takeoff and landing.
0x800923A8, function start — WorldMapFaderTaskInit; initializes the full-screen transition fade packets.
0x800925A0, function start — WorldMapFaderTaskUpdate; renders and advances the active transition fade.
0x80092BE4, function start — WorldMapExitTaskInit; initializes the active-exit prompt window.
0x80092C70, function start — WorldMapExitTaskUpdate; updates and renders the changing exit prompt.
0x80092DF8, function start — WorldMapDialogTaskInit; initializes the secondary World Map dialog task.
0x80092FD8, function start — WorldMapDialogTaskUpdate; manages and renders the secondary dialog state.
0x800931D8, function start — WorldMapTintTextureRamp; generates palette ramps toward a supplied color.
0x80093354, function start — WorldMapWrapPosition; wraps fixed-point coordinates across world boundaries.
0x80093484, function start — WorldMapWrapCameraRelativePosition; wraps camera-relative world deltas.
0x80093534, function start — WorldMapWrapModelRelativePosition; wraps model-relative world deltas.
0x800935DC, function start — WorldMapIntersectHeightPlane; solves terrain height from a plane normal.
0x80093660, function start — WorldMapGetChunkForPosition; resolves coordinates to a loaded chunk cell.
0x80093740, function start — WorldMapCalculateTerrainNormal; selects a triangle and computes its surface normal.
0x80093978, function start — WorldMapGetAltitude; interpolates terrain altitude at a world position.
0x80093A5C, function start — WorldMapGetElevationWithWater; resolves terrain or animated-water elevation.
0x80093E8C, function start — WorldMapGetMaterial; reads the packed material word at a world position.
0x80093F18, function start — WorldMapGetGroundType; returns the selected terrain triangle's ground type.
0x80093FE4, function start — WorldMapGetMaterialShape; returns the terrain material shape nibble.
0x80094028, function start — WorldMapGetTerrainAuxiliaryType; extracts an auxiliary terrain type.
0x80094060, function start — WorldMapIsTerrainBlockedForTravelMode; tests travel permissions by ground type.
0x80094088, function start — WorldMapChooseTerrainSlideVector; chooses a vector along a blocking edge.
0x80094154, function start — WorldMapHorizontalDistance; computes wrapped horizontal distance.
0x800941C4, function start — WorldMapSelectDirectionToTarget; computes heading and normalized target direction.
0x80094238, function start — WorldMapSetupExits; activates exits valid at the current position.
0x80094364, function start — WorldMapFindExitAtPositionByType; finds a containing exit of the requested type.
0x800945C8, function start — WorldMapCheckNegativeXBoundaryCrossing; tests crossing the previous X cell edge.
0x80094750, function start — WorldMapCheckPositiveZBoundaryCrossing; tests crossing the next Z cell edge.
0x800948D8, function start — WorldMapCheckNegativeZBoundaryCrossing; tests crossing the previous Z cell edge.
0x80094A5C, function start — WorldMapCheckTerrainTraversal; validates crossed terrain cells for the travel mode.
0x800951A8, function start — WorldMapResolveTerrainCollision; accepts, blocks, or slides a terrain movement.
0x800952B0, function start — WorldMapOrientSlideVector; orients a collision slide vector.
0x80095324, function start — WorldMapDeriveSlideVectorFromNormal; derives a slide vector from a surface normal.
0x80095414, function start — WorldMapCheckPosition; resolves ordinary actor terrain and model collisions.
0x80095CD4, function start — WorldMapCheckYggdrasilPosition; resolves flying vehicle movement and collisions.
0x800960BC, function start — WorldMapFreeStreamingData; frees active streaming command buffers.
0x80096130, function start — WorldMapWaitForStreamingQueue; waits for a free streaming queue slot.
0x8009623C, function start — WorldMapQueueCDCellRead; appends a CD cell read to the current batch.
0x800962B0, function start — WorldMapQueuePCCellRead; appends a PC cell read to the current batch.
0x80096328, function start — WorldMapFinalizeCDCellBatch; sorts and publishes a CD streaming batch.
0x800963E4, function start — WorldMapSortCDStreamingEntries; sorts CD reads by sector.
0x800964B0, function start — WorldMapSortPCStreamingEntries; sorts PC reads by file offset.
0x800965A4, function start — WorldMapFinalizePCCellBatch; sorts and publishes a PC streaming batch.
0x80096668, function start — WorldMapStreamingPendingCount; returns queued streaming batch count.
0x80096694, function start — WorldMapWaitForStreamingCompletion; services streaming until completion.
0x800966CC, function start — WorldMapExecutePCStreamingBatch; executes one sorted PC streaming batch.
0x800967E4, function start — WorldMapServiceStreaming; services one queued CD or PC batch.
0x800968E0, function start — WorldMapUpdateCDStreamingState; advances asynchronous CD streaming.
0x8009699C, function start — WorldMapStartCDCellRead; initializes reads for a sorted CD cell batch.
0x80096F18, function start — WorldMapComputeCameraVector; builds camera eye, target, and up vectors.
0x80097070, function start — WorldMapExtractCameraAngles; extracts camera angles from view vectors.
0x80097244, function start — WorldMapBuildLookAtViewMatrix; builds a complete translated look-at matrix.
0x80097440, function start — WorldMapBuildViewMatrix; builds the rotated and translated view matrix.
0x8009766C, function start — WorldMapAllocateState; allocates the 64-entry World Map task state.
0x800976A0, function start — WorldMapFreeState; frees the World Map task state.
0x800976C8, function start — WorldMapInitializeState; clears all task callbacks and sprite pointers.
0x800976FC, function start — WorldMapAssignTaskInitCallback; resets a task and assigns its init callback.
0x80097718, function start — WorldMapSetupTask; claims a task slot and assigns callbacks.
0x80097770, function start — WorldMapChangeEntityState; queues an entity state command.
0x80097800, function start — WorldMapDispatchTasks; initializes or updates all active tasks.
0x800978FC, function start — WorldMapCreatePolyFT3Array; allocates terrain triangle packet buffers.
0x800979C8, function start — WorldMapLoadGroundTextures; builds fogged palettes and uploads ground textures.
0x80097BC0, function start — WorldMapSetupInitialGrid; initializes the streamed grid and water phase.
0x80097CB8, function start — WorldMapResetStreamingGrid; resets streamed-grid pointers and indices.
0x80097D64, function start — WorldMapFreeLoadedChunks; frees all loaded World Map chunks.
0x80097DC0, function start — WorldMapTriggerInitialLoading; queues initial 3x3 and 9x9 cell loads.
0x80098044, function start — WorldMapInitializeFrustumPlanes; computes tile visibility plane normals.
0x800980D4, function start — WorldMapSetGridUpdateMask; records streamed-grid edge crossings.
0x800981C8, function start — WorldMapUpdateGridIndices; rebuilds wrapped 9x9 cell indices.
0x800983A0, function start — WorldMapPrepareTerrainVisibility; classifies visible megatiles and subtiles.
0x800987AC, function start — WorldMapClassifyTileVisibility; classifies a tile against frustum planes.
0x80098CC0, function start — WorldMapUpdateStreamingCells; frees departed cells and queues new cells.
0x8009932C, function start — WorldMapDrawGround; dispatches visible terrain and water quadrants.
0x800996D4, instruction site — completes the authenticated terrain and water shadow path.
0x80099708, function start — WorldMapDrawGroundCell; builds a wrapped vertex grid with water heights.
0x8009980C, function start — WorldMapEmitGroundCellTriangles; projects and emits terrain FT3 packets.
0x80099BFC, function start — WorldMapRenderCellDecorationPackets; emits loaded-cell decoration quads.
0x80099E78, instruction site — completes the authenticated decoration projection helper.
