# field-overlay
# annotated_functions/total_functions: 396/651
# Total basis: union of Ghidra functions and recovered callbacks/entries.
# image-id: field-overlay
# sha256: 920a3e20ccc5d8aae32225c272066e819c427b566b2274df60b182e1265f04dd
# load-address: 0x8006f000
# identity-source: native_renderer/xg_render_manifest.toml
# source-record-id: field-image
# Semantic sources: Ghidra field_module.exe
# Format: address, typed note

0x8007E114, function start — FieldTextBoxSetUnknownGeometryFields; assigns four unresolved text-box geometry fields.
0x8007E1C0, function start — FieldTextBoxLinkPrimitives; links text-box, border, cursor, arrow, and portrait packets.
0x8007EE0C, function start — FieldTextBoxInitializePrimitives; initializes Field text-box GPU packets.
0x8007FFE8, function start — FieldTextBoxUpdateVisibleSlots; updates all four visible text-box slots.
0x8008004C, function start — FieldTextBoxRender; renders the four active Field text-box slots.
0x80080444, call site — FieldTextBoxRender call to resident SystemStringEntryRender.
0x800805F4, function start — FieldPresentationSetup; shared setup for the Field presentation passes.
0x800806E4, function start — FieldTextBoxFindTopSlot; finds the text box with display order zero.
0x80080720, function start — FieldTextBoxHasFreeSlot; tests for an uninitialized text-box slot.
0x80080760, function start — FieldTextBoxFindOldestSlot; finds the greatest active display order.
0x800807B4, function start — FieldTextBoxAllocateSlot; claims a free text-box slot as order zero.
0x8008083C, function start — FieldActorFreeResources; frees actor, shadow, sprite, and owned buffers.
0x80080F3C, instruction site — actor script, walkmesh, normal, and elevation initialization complete.
0x8008110C, function start — UpdateFieldObjects; advances Field object state.
0x8008141C, instruction site — begins the secondary movement/altitude pass over non-player entities.
0x800814AC, call site — secondary entity pass calls the movement/altitude resolver at 0x80084A40.
0x800814E4, instruction site — clears jumping after the sprite animation reports completion.
0x80081518, instruction site — non-player movement checks complete; proceeds to collision scripts and party following.
0x80082620, function start — UpdateFieldObjectRenderPackets; updates Field object GPU packets.
0x800826D4, instruction site — terrain movement delta computed; begins applying movement rules.
0x80082BB8, function start — UpdateFieldObjectModelPackets; updates Field object model packets.
0x80082CA8, instruction site — begins assembling the actor movement vector and mask.
0x80082CB8, call site — per-entity movement update queries FieldEntityMovementIdlePredicate.
0x80082D94, instruction site — stages the candidate step vector for movement-bound validation.
0x80083120, instruction site — commits the resolved step and clears accumulated displacement.
0x80083564, instruction site — begins collision-mesh primitive scanning after GTE transform setup.
0x80083930, instruction site — tests the collision no-hit sentinel before committing altitude.
0x800844B8, instruction site — accepts an actor collision after volume and vertical tests.
0x80084520, instruction site — transfers moving-platform step vectors to the rider.
0x8008467C, instruction site — classifies an above-actor collision and updates floor altitude.
0x800846A8, instruction site — commits the actor-collision processed flag.
0x80084854, instruction site — player contact resolution complete; gates the final walkmesh move check.
0x80084890, call site — actor-collision pass calls the movement/altitude resolver at 0x80084A40.
0x800848B8, instruction site — checks animation completion to clear jumping and reset input.
0x800848F0, call site — releases the temporary collision scratch buffer.
0x8008492C, function start — FieldEntityMovementIdlePredicate; tests whether movement/collision work is required.
0x80084A40, function start — FieldEntityResolveMovementAndAltitude; resolves walkmesh altitude, gravity, falling, and position commits.
0x80084B18, call site — movement/altitude resolver reuses FieldEntityMovementIdlePredicate.
0x80084B44, instruction site — enters full walkmesh altitude and triangle resolution.
0x8008509C, instruction site — begins gravity and falling resolution against walkmesh altitude.
0x80085160, instruction site — begins vertical walkmesh-layer reconciliation.
0x80085444, instruction site — commits resolved entity position to sprite and actor transforms.
0x80085F30, function start — FieldSoundFinishWdsLoad; completes archive WDS loading.
0x80085FB8, function start — FieldSoundBeginWdsLoad; allocates and starts WDS archive I/O.
0x80086024, function start — FieldSoundUnloadWds; releases the active WDS entry.
0x80086200, function start — FieldActorWorldToScreenPosition; projects a Field actor position.
0x80086590, function start — FieldCameraTargetUpdate; derives the tracked target from eligible actors.
0x80086900, instruction site — camera target aggregation complete; returns to the caller.
0x80086908, function start — FieldCameraUpdate; selects the tracking source and updates Field camera tracking.
0x800869A0, call site — Field camera tracking calls FieldCameraTargetUpdate.
0x800869B8, function start — FieldScriptVM2Run; executes the secondary Field script VM.
0x80086D8C, function start — FieldSetScreenDimensions; configures Field screen dimensions.
0x80086DE0, function start — FieldScriptSetPauseDisabled; sets the Field pause-disable state.
0x80086E1C, function start — FieldScriptConfigureDisplayMode; configures display/draw environments.
0x80086F7C, function start — FieldScriptSetModelAnimation; assigns a model animation.
0x80086FD0, function start — FieldScriptSpriteListCommand; dispatches sprite-list operations.
0x80087420, function start — FieldScriptScaleTwoRatios; scales two script ratios and writes both results.
0x8008752C, function start — FieldScriptSkipThreeByteInstruction; advances past a three-byte no-op instruction.
0x8008754C, function start — FieldScriptSetGameStateFlag4000; sets game-state flag 0x4000.
0x80087580, function start — FieldScriptCopyGear; copies Gear state from a Field script.
0x80087800, function start — FieldScriptWriteGlobalByte80050622; writes the unresolved global byte to script memory.
0x800879D0, function start — FieldScriptWriteGameState184EAnd1852; writes two game-state fields to script memory.
0x80088360, function start — FieldScriptSetCharacterGear; assigns a character Gear.
0x80088CF8, function start — FieldScriptSetParticleDirections0To3; sets particle directions 0 through 3.
0x80088D18, function start — FieldScriptSetParticleDirections4To7; sets particle directions 4 through 7.
0x80088D38, function start — FieldScriptSetParticleBankDirections; script particle-direction handler.
0x80089004, function start — FieldScriptInitializeParticleBank; initializes a script particle bank.
0x80089174, function start — FieldScriptSetParticleBankPosition; sets particle-bank position.
0x80089374, function start — FieldScriptSetParticleBankPhysics; sets particle-bank physics.
0x80089574, function start — FieldScriptSetParticleBankParameters; sets particle-bank parameters.
0x800896D4, function start — FieldScriptSetParticleBankScale; sets particle-bank scale.
0x80089880, function start — FieldScriptSetParticleBankColor; sets particle-bank color.
0x80089A80, function start — FieldScriptParticlesInitialize; initializes script particles.
0x80089AE4, function start — FieldScriptStopParticleActor; stops an actor particle effect.
0x8008D380, function start — FieldActorCopyPlacement; copies Field actor placement.
0x8008D684, function start — FieldScriptVariableSetIndexedBit; sets an indexed script-variable bit.
0x8008D700, function start — FieldScriptVariableClearIndexedBit; clears an indexed script-variable bit.
0x8008D780, function start — FieldScriptJumpIfIndexedBitClear; conditionally branches on an indexed bit.
0x8008DB68, function start — FieldPartyMemberIncreaseGearHp; increases party Gear HP.
0x8008DBF0, function start — FieldPartyMemberDecreaseGearHp; decreases party Gear HP.
0x8008DC74, function start — FieldScriptVMHandlerIncreasePartyGearHp; VM Gear-HP increase handler.
0x8008DD6C, function start — FieldScriptVMHandlerDecreasePartyGearHp; VM Gear-HP decrease handler.
0x8008DE64, function start — FieldScriptSetParentActor; assigns an actor parent.
0x8008DEBC, function start — FieldScriptWriteActorFlags1; writes actor flag group 1.
0x8008DF44, function start — FieldScriptWriteActorFlags2; writes actor flag group 2.
0x8008DFCC, function start — FieldScriptWriteActorFlags3; writes actor flag group 3.
0x8008E054, function start — FieldScriptWriteActorFlags4; writes actor flag group 4.
0x8008E0DC, function start — FieldScriptVMConditionalJump6; Field script conditional jump variant 6.
0x8008E148, function start — FieldScriptVMConditionalJump5; Field script conditional jump variant 5.
0x8008E1B4, function start — FieldScriptWriteActorDistance; writes actor-distance state.
0x8008E718, function start — FieldEncounterInitializeTimers; initializes unique randomized encounter timers.
0x8008E85C, function start — FieldScriptVMHandlerSetEncounterData; implements encounter opcode 0xF7.
0x8008FA38, function start — FieldScriptWaitForCameraMovement; waits for camera movement.
0x8008FABC, function start — FieldScriptSetSceneAngleY; assigns both scene Y-angle fields.
0x8008FD40, function start — FieldScriptSetCameraInterpolationStep; sets camera interpolation step.
0x8008FDD0, function start — FieldScriptResetCameraTargetMovement; resets camera-target movement.
0x8008FE2C, function start — FieldScriptSetCameraTargetMovementFrom; sets camera-target origin.
0x8008FF04, function start — FieldScriptSetCameraTargetMovementDestToActor; targets an actor.
0x8008FF90, function start — FieldScriptSetCameraTargetMovementDest; sets camera-target destination.
0x80090068, function start — FieldScriptResetCameraPosMovement; resets camera-position movement.
0x800900C4, function start — FieldScriptSetCameraPosMovementFrom; sets camera-position origin.
0x8009019C, function start — FieldScriptSetCameraPosMovementDestToActor; moves camera to an actor.
0x80090228, function start — FieldScriptSetCameraPosMovementDest; sets camera-position destination.
0x80090300, function start — FieldScriptResetCameraMovements; resets Field camera movements.
0x800903BC, function start — FieldScriptStartCameraMovement; starts Field camera movement.
0x80090A08, instruction site — camera interpolation opcode setup complete; returns to the Field VM.
0x80090A10, function start — FieldScriptWriteCurCameraTarget; writes current camera target.
0x80090A94, function start — FieldScriptWriteCurCameraPosition; writes current camera position.
0x80090B18, function start — FieldScriptWriteCameraTweenTarget; writes tween camera target.
0x80090B9C, function start — FieldScriptWriteCameraTweenPosition; writes tween camera position.
0x80090E70, function start — FieldScriptWriteCameraOrbitParameters; writes yaw, pitch, and half-distance.
0x80091318, function start — FieldScriptComputeCameraOrbitPoint; computes a rotated camera endpoint.
0x800915C4, function start — FieldScriptWriteCameraMovementParameter; writes a camera parameter.
0x80091720, function start — FieldScriptSetCameraMovementParameter; sets a camera parameter.
0x80092628, function start — FieldScriptVMHandlerSetControllerBtnMask; sets controller mask.
0x80093824, function start — FieldScriptRequestUnknownState3; requests unresolved Field state 3.
0x800939A0, function start — FieldScriptRequestUnknownState4; requests unresolved Field state 4.
0x80093A04, function start — FieldScriptRequestUnknownState5; requests unresolved Field state 5.
0x80093A68, function start — FieldScriptClearSceneFlag8000; clears scene flag 0x8000.
0x80093A98, function start — FieldScriptSetSceneFlag8000; sets scene flag 0x8000.
0x80093AC8, function start — FieldScriptDisableEncountersAndCompass; disables encounter and compass state.
0x80093B10, function start — FieldScriptEnableEncountersAndCompass; restores encounter and compass state.
0x80093BB0, function start — FieldScriptEnableEncounterIndicator; enables the encounter indicator.
0x80093BD4, function start — FieldScriptDisableEncounterIndicator; disables the encounter indicator.
0x80093BFC, function start — FieldScriptEnableCompass; enables the Field compass.
0x80093C20, function start — FieldScriptDisableCompass; disables the Field compass.
0x80093C48, function start — FieldScriptVMHandlerDisableRandomEncounters; disables encounters.
0x80093C6C, function start — FieldScriptEnableRandomEncounters; enables random encounters.
0x80093CD0, function start — FieldScriptWriteScriptU8ToVariable; writes a script byte to a variable.
0x80093D48, function start — FieldScriptWriteScriptS16ToVariable; writes a script halfword to a variable.
0x80093E30, function start — FieldScriptRotateActorAndSetStateFlag; rotates an actor over 30 steps and sets its state flag.
0x80093FC0, function start — FieldScriptRotateActorAndClearStateFlag; applies the inverse rotation and clears its state flag.
0x80094158, function start — FieldScriptMoveActorAndSetStateFlag; moves an actor for a scripted step count and sets its state flag.
0x800943AC, function start — FieldScriptMoveActorAndClearStateFlag; applies complementary movement and clears its state flag.
0x800945D4, function start — FieldScriptInitializeUnknownPairAndPackArguments; resets an unresolved state pair and packs two arguments.
0x80094650, function start — FieldScriptSetUnknownSelector; sets an unresolved Field selector.
0x8009468C, function start — FieldScriptResetUnknownPair; resets two unresolved Field state values.
0x800946BC, function start — FieldScriptSetUnknownMode1AndValue; selects unresolved mode 1 and stores its value.
0x80094710, function start — FieldScriptSetUnknownMode2AndValue; selects unresolved mode 2 and stores its value.
0x80094764, function start — FieldScriptSetUnknownMode3AndValue; selects unresolved mode 3 and stores its value.
0x800947B0, function start — FieldScriptAdjustActorAxisRotation; adjusts a selected actor rotation axis.
0x80094918, function start — FieldScriptSetCurrentActorAxisRotation; assigns one current-actor axis.
0x80094A5C, function start — FieldScriptIncreaseCurrentActorRotationX; increments actor rotation X.
0x80094ACC, function start — FieldScriptDecreaseCurrentActorRotationX; decrements actor rotation X.
0x80094B3C, function start — FieldScriptIncreaseCurrentActorRotationY; increments actor rotation Y.
0x80094BAC, function start — FieldScriptDecreaseCurrentActorRotationY; decrements actor rotation Y.
0x80094C1C, function start — FieldScriptIncreaseCurrentActorRotationZ; increments actor rotation Z.
0x80094C8C, function start — FieldScriptDecreaseCurrentActorRotationZ; decrements actor rotation Z.
0x80095300, function start — FieldScriptSetControlUnknownAngle; stores a script value in the unresolved control angle.
0x8009533C, function start — FieldScriptHandleTriggerZone2D; handles a 2D trigger zone.
0x80095520, function start — FieldScriptHandleTriggerZone; handles a 3D trigger zone.
0x80095734, function start — FieldScriptCheckTriggerZone2D; tests a 2D trigger zone.
0x800958C0, function start — FieldScriptCheckTriggerZone; tests a 3D trigger zone.
0x80095A7C, function start — FieldProjectActorOriginToScreen; projects an actor origin to screen space.
0x80095B3C, function start — FieldActorInnerProximityPredicate; checks the near-screen actor range.
0x80095C00, function start — FieldScriptCheckActorOnScreen; tests actor screen visibility.
0x80095C68, instruction site — Field script on-screen bias adjustment.
0x80095C6C, instruction site — Field script on-screen range comparison.
0x80095E48, function start — FieldScriptCheckActorDistance; tests actor distance.
0x80095F24, function start — FieldScriptCheckGoldAmount; tests the current gold amount.
0x80095FB8, function start — FieldScriptIncreaseGold; increases party gold.
0x8009601C, function start — FieldScriptDecreaseGold; decreases party gold.
0x80096078, function start — FieldScriptVMCheckControllerInput; checks Field script controller input.
0x800960E4, function start — FieldScriptCheckControllerInputExact; checks an exact controller mask.
0x80096150, function start — FieldScriptVMCheckCurrentInputExact; conditionally branches on exact current input.
0x80096178, function start — FieldScriptVMCheckAccumulatedInputExact; conditionally branches on exact accumulated input.
0x800961A0, function start — FieldScriptVMCheckCurrentInputMask; conditionally branches when requested current input is absent.
0x800964B0, function start — FieldScriptCheckPartyMember; tests party membership.
0x80096644, function start — FieldScriptCheckScenarioFlagsLessThan; compares scenario flags.
0x800966B4, function start — FieldScriptCheckScenarioFlagsGreaterThan; compares scenario flags.
0x80096724, function start — FieldScriptCheckScenarioFlagsEqual; compares scenario flags.
0x80096790, function start — FieldScriptSetScenarioFlags; writes scenario flags.
0x800967E8, function start — FieldScriptGetScenarioFlags; reads scenario flags.
0x80096844, function start — FieldPartyMemberIncreaseHp; increases party-member HP.
0x800968CC, function start — FieldPartyMemberDecreaseHp; decreases party-member HP.
0x80096920, function start — FieldPartyMemberIncreaseMp; increases party-member MP.
0x800969A8, function start — FieldPartyMemberDecreaseMp; decreases party-member MP.
0x800969FC, function start — FieldScriptVMHandlerDecreasePartyHp; VM party-HP decrease handler.
0x80096B58, function start — FieldScriptVMHandlerWritePartyMemberHp; writes party-member HP.
0x80096C40, function start — FieldScriptVMHandlerWritePartyMemberMp; writes party-member MP.
0x80096D28, function start — FieldScriptVMHandlerSetPartyMemberHp; sets party-member HP.
0x80096E20, function start — FieldScriptVMHandlerSetPartyMemberMp; sets party-member MP.
0x80096F18, function start — FieldScriptVMHandlerIncreasePartyMp; increases party MP.
0x80097010, function start — FieldScriptVMHandlerDecreasePartyMp; decreases party MP.
0x80097200, function start — FieldScriptVMHandlerRestoreCharacterHpAndMp; restores HP and MP.
0x80097264, function start — FieldScriptVMHandlerRestoreHp; restores HP.
0x800972AC, function start — FieldScriptVMHandlerRestoreMp; restores MP.
0x8009731C, function start — FieldScriptFadeOut; starts a script fade-out.
0x80097364, function start — FieldScriptFadeIn; starts a script fade-in.
0x800973A4, function start — FieldScriptWaitForArchiveFile; requests or waits for the selected archive file.
0x8009744C, function start — FieldGetPlayerActorDirection; returns the player actor direction.
0x800985BC, function start — FieldScriptVMHandlerDebugPrintFlagValue; implements extended opcode 0x74.
0x80098C00, function start — FieldScriptMoveActorToPosition; initializes unrestricted interpolated actor movement.
0x80098C3C, function start — FieldScriptMoveActorToPositionWithLimit; initializes bounded interpolated actor movement.
0x80098CAC, function start — FieldScriptMoveActorToPositionImpl; executes interpolated movement toward script coordinates.
0x80099980, function start — FieldScriptStartUnknownOperationFFFF; starts unresolved operation 0xFFFF and waits for completion.
0x80099A04, function start — FieldGetVec3Magnitude; computes a 3D vector magnitude.
0x80099A4C, function start — FieldGetVec2Magnitude; computes a 2D vector magnitude.
0x80099A8C, function start — FieldGetVec1Magnitude; computes a scalar magnitude.
0x80099EF8, function start — FieldScriptVMWriteCurCharacterID; writes current character ID.
0x80099F48, function start — FieldScriptVMWritePartyLeaderCharacterID; writes leader ID.
0x80099FC4, function start — FieldScriptVMHandlerGetActorDirection; gets actor direction.
0x8009A024, function start — FieldScriptVMHandlerGetActorPosition; gets actor position.
0x8009A130, function start — FieldScriptVMHandlerPlayAnimation; starts an actor animation.
0x8009A514, function start — FieldGetCameraDirection; returns the Field camera direction.
0x8009A534, function start — FieldScriptWriteCameraDirection; writes camera direction.
0x8009A634, function start — FieldScriptSetDollySet; enables camera dolly state.
0x8009A670, function start — FieldScriptSetDollyStop; stops camera dolly state.
0x8009A6AC, function start — FieldScriptCos; Field script cosine helper.
0x8009A768, function start — FieldScriptSin; Field script sine helper.
0x8009A824, function start — FieldScriptAtan2; Field script atan2 helper.
0x8009A8DC, function start — FieldScriptGetCurActorDirection; gets the current actor direction.
0x8009A904, function start — FieldSetCurrentActorRotation; sets current actor rotation.
0x8009A958, function start — FieldScriptSetActorRotation; script actor-rotation handler.
0x8009AB08, function start — FieldScriptSetCameraRelativeActorRotation; applies an actor rotation relative to the camera.
0x8009AB5C, function start — FieldScriptRotateActorClockwise; rotates actor clockwise.
0x8009ABAC, function start — FieldScriptRotateActorCounterClockwise; rotates actor counter-clockwise.
0x8009ABFC, function start — FieldScriptSetActorDirection; sets actor direction.
0x8009AC7C, function start — FieldScriptVMHandlerSetCurActorRotation; sets current rotation.
0x8009ACB4, function start — FieldScriptSetCameraRelativeActorDirection; maps a direction to camera-relative actor rotation.
0x8009BB0C, function start — FieldScriptWaitForOwnedTextBox; waits for or conditionally closes the actor's text box.
0x8009BE58, function start — FieldActorFacesCameraPredicate; compares actor and camera directions.
0x8009BE9C, function start — FieldScriptResetDialogue; closes or resets actor dialogue state.
0x8009BF8C, function start — FieldScriptCopyActorFaceId; copies another actor's portrait ID.
0x8009C0B4, function start — FieldScriptRunTextBoxOperationMode0; runs text-box operation mode 0.
0x8009C0DC, function start — FieldScriptRunTextBoxOperationMode1; runs text-box operation mode 1.
0x8009C104, function start — FieldScriptRunTextBoxOperationMode2; runs text-box operation mode 2.
0x8009C12C, function start — FieldScriptRunTextBoxOperationMode3; runs text-box operation mode 3.
0x8009C538, function start — FieldTextBoxCheckPortraitAvailable; checks portrait-slot availability.
0x8009CCF8, function start — FieldTextBoxSetSlotFlag; sets a text-box slot mask bit.
0x8009CD18, function start — FieldTextBoxFindCurrentActorSlot; locates the current actor text box.
0x8009CD7C, function start — FieldScriptResolveActorIndexOrDefault; resolves an actor index fallback.
0x8009CDB4, function start — FieldScriptVMGetActorIndex; resolves a script actor index.
0x8009CE48, function start — FieldScriptSetDialogueWindowImmediate; sets immediate dialogue geometry.
0x8009CEE0, function start — FieldScriptSetDialogueWindow; sets resolved dialogue geometry and flags.
0x8009CF78, function start — FieldScriptArgument1; reads Field script argument 1.
0x8009CFBC, function start — FieldScriptArgument2; reads Field script argument 2.
0x8009D000, function start — FieldScriptArgument3; reads Field script argument 3.
0x8009D044, function start — FieldScriptArgument4; reads Field script argument 4.
0x8009D088, function start — FieldScriptArgument5; reads Field script argument 5.
0x8009D0CC, function start — FieldScriptArgument6; reads Field script argument 6.
0x8009D110, function start — FieldScriptArgument7; reads Field script argument 7.
0x8009D154, function start — FieldScriptArgument8; reads Field script argument 8.
0x8009D198, function start — FieldScriptVMHandlerRandVariable; writes a random variable.
0x8009D1F0, function start — FieldScriptVMHandlerMulVariableWithRand; multiplies by random.
0x8009D260, function start — FieldScriptVMHandlerRShiftVariable; shifts a variable right.
0x8009D2D0, function start — FieldScriptVMHandlerLShiftVariable; shifts a variable left.
0x8009D340, function start — FieldScriptVMHandlerIncVariable; increments a variable.
0x8009D3A4, function start — FieldScriptVMHandlerDecVariable; decrements a variable.
0x8009D408, function start — FieldScriptVMHandlerVariableUnsetBit; clears a variable bit.
0x8009D4A0, function start — FieldScriptVMHandlerVariableXOR; applies variable XOR.
0x8009D52C, function start — FieldScriptVMHandlerVariableOR; applies variable OR.
0x8009D5B8, function start — FieldScriptVMHandlerVariableAND; applies variable AND.
0x8009D644, function start — FieldScriptVMHandlerVariableSetBit; sets a variable bit.
0x8009D6D8, function start — FieldScriptVMHandlerVariableMul; multiplies a variable.
0x8009D768, function start — FieldScriptVMHandlerVariableDiv; divides a variable.
0x8009D804, function start — FieldScriptVMHandlerVariableSub; subtracts from a variable.
0x8009D890, function start — FieldScriptVMHandlerVariableAdd; adds to a variable.
0x8009D91C, function start — FieldScriptVMHandlerVariableSetFalse; clears a variable.
0x8009D960, function start — FieldScriptVMHandlerVariableSetTrue; sets a variable true.
0x8009D9A4, function start — FieldScriptVMHandlerVariableAssign; assigns a variable.
0x8009DA1C, function start — FieldScriptVMHandlerDisableDialogActivation; disables dialog.
